"verb";"meanings"
"gangrenar";""
"ganguear";"<li>intr. Hablar con resonancia nasal producida por cualquier defecto en los conductos de la nariz.<br></li>"
"gansear";""
"garabatear";"<li>intr. y tr. Hacer garabatos:<br><span class=""i"">garabateó el plano de la casa en una servilleta de papel.</span><br></li>"
"garantir";""
"garantizar";"<li>tr. Dar garantías:<br><span class=""i"">le garantizo que este coche funcionará sin ningún tipo de problema.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"garbear";""
"garbillar";""
"gargajear";""
"gargantear";""
"gargarear";""
"gargarizar";""
"garpar";""
"garrapatear";"<li>intr. y tr. Hacer garrapatos:<br><span class=""i"">el médico garrapateó algo en mi informe,  pero no consigo leerlo.</span><br></li>"
"garrear";""
"garronear";""
"garrotear";""
"garuar";""
"gasear";"<li>tr. Hacer que un líquido,  generalmente agua,  absorba cierta cantidad de gas. </li><li> Someter a la acción de gases asfixiantes,  tóxicos,  lacrimógenos,  etc.:<br><span class=""i"">los nazis gaseaban a los judíos en los campos de concentración.</span><br></li>"
"gastar";"<li>tr. Emplear el dinero para comprar algo:<br><span class=""i""> gastó todos sus ahorros en el coche.</span> También intr. y prnl.:<br><span class=""i"">el dinero se gasta enseguida.</span> </li><li> Consumir con el uso:<br><span class=""i"">gastar mucho jabón.</span> También prnl.:<br><span class=""i"">se ha gastado el champú.</span> </li><li> Estropear,  desgastar algo por el uso:<br><span class=""i"">ya he gastado la brocha que me diste.</span> </li><li> Usar algo habitualmente:<br><span class=""i"">gasta pajarita.</span> </li><li> Tener habitualmente un estado determinado:<br><span class=""i"">gasta un genio endiablado.</span> </li><li> <span class=""b"">gastarlas</span> loc. <span class=""i"">col. </span>Proceder,  portarse:<br><span class=""i"">tú no sabes cómo las gasta el jefe.</span><br></li>"
"gatear";"<li>intr. Andar a gatas:<br><span class=""i""> el niño ya gatea.</span> </li><li> Trepar como los gatos:<br><span class=""i""> gateó al árbol para coger el balón.</span><br></li>"
"gauchear";"<li>intr. <span class=""i"">amer.</span> Seguir las costumbres de los gauchos. </li><li> <span class=""i"">amer.</span> Hacer favores.<br></li>"
"gemiquear";""
"gemir";"<li>intr. Expresar pena y dolor con sonido y voz lastimera:<br><span class=""i"">deja de gemir y haz algo para solucionar tus problemas.</span> </li><li> Aullar algunos animales,  o sonar algunas cosas inanimadas,  con semejanza al gemido del hombre:<br><span class=""i"">el perro gemía a la puerta de la casa.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">pedir</span>.<br></li>"
"generalizar";"<li>tr. Hacer común o corriente algo. También prnl.:<br><span class=""i""> esta costumbre se ha generalizado.</span> </li><li> intr. y tr. Sacar una conclusión general de algo particular:<br><span class=""i""> no generalices,  no todos somos así.</span> </li><li> Tratar los aspectos generales de algo,  sin detenerse en ningún aspecto particular:<br><span class=""i""> generalizó sobre la crisis económica.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"generar";"<li>tr. Producir:<br><span class=""i""> generar electricidad;<br> generar rechazo.</span> </li><li> Procrear:<br><span class=""i"">generar un nuevo ser.</span><br></li>"
"germinar";"<li>intr. Brotar y comenzar a crecer las plantas:<br><span class=""i"">los rosales están germinando.</span> </li><li> Comenzar a desarrollarse algo inmaterial:<br><span class=""i"">germinar un plan.</span><br></li>"
"gestar";"<li>tr. Llevar y sustentar la madre en su vientre al feto hasta el momento del parto:<br><span class=""i"">la elefanta gestó una cría en cautividad.</span> </li><li> prnl. Prepararse,  desarrollarse o crecer sentimientos,  ideas o tendencias individuales o colectivas:<br><span class=""i"">en ese viaje se gestó su novela.</span><br></li>"
"gestear";""
"gesticular";"<li>adj. Del gesto o relativo a él:<br><span class=""i"">lenguaje gesticular.</span><br></li>"
"gestionar";"<li>tr. Hacer los trámites o diligencias necesarios para resolver un asunto:<br><span class=""i"">estoy gestionando la venta de varios pisos.</span> </li><li> Dirigir o administrar una empresa o negocio:<br><span class=""i"">mi mujer gestiona el restaurante y yo llevo la cocina.</span><br></li>"
"gibar";"<li>tr. <span class=""i"">col.</span> Fastidiar,  vejar,  molestar. También prnl.:<br><span class=""i"">ese ruido continuo ya me está gibando.</span><br></li>"
"gimotear";"<li>intr. <span class=""b"">gemir.</span> A veces se usa con sent. <span class=""i"">desp.</span>:<br><span class=""i"">deja de gimotear,  que no vas a conmoverme.</span> </li><li> Hacer los gestos y suspiros del llanto sin llegar a él:<br><span class=""i""> el bebé gimoteaba entre sueños.</span><br></li>"
"girar";"<li>intr. Dar vueltas alrededor de sí o de algo:<br><span class=""i""> la Tierra gira alrededor del Sol.</span> </li><li> Desviarse,  cambiar de dirección:<br><span class=""i""> giró a la derecha.</span> </li><li> Desarrollarse una conversación o un asunto sobre un tema:<br><span class=""i""> la conferencia giró en torno al modernismo.</span> </li><li> tr. Hacer que algo gire:<br><span class=""i"">gira la manivela.</span> </li><li> Expedir órdenes de pago:<br><span class=""i"">girar una letra.</span> También intr. </li><li> Enviar un giro postal o telegráfico. También intr.<br></li>"
"gitanear";""
"glasear";"<li>tr. Abrillantar la superficie de pasteles y bizcochos con azúcar derretido y clara de huevo:<br><span class=""i"">glasear una palmera.</span> </li><li> Dar brillo a la superficie de algunas cosas,  como al papel o a las telas.<br></li>"
"globalizar";"<li>tr. Integrar o incluir en un planteamiento global:<br><span class=""i"">globalizar varias ideas en una teoría.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"glorificar";"<li>tr. Dar la gloria divina a alguien:<br><span class=""i"">glorificar a Dios.</span> </li><li> Alabar,  ensalzar:<br><span class=""i"">glorificar una hazaña.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"glosar";"<li>tr. Hacer,  poner o escribir glosas:<br><span class=""i"">glosaron el texto para facilitar su comprensión.</span> </li><li> Comentar palabras y dichos propios o ajenos,  ampliándolos:<br><span class=""i"">los periodistas glosaron el breve comentario del ministro.</span><br></li>"
"glotonear";""
"gobernar";"<li>tr. Mandar con autoridad o regir una cosa:<br><span class=""i"">gobernar un país,  una empresa.</span> También intr.:<br><span class=""i"">el presidente gobernó con justicia.</span> </li><li> Guiar y dirigir:<br><span class=""i"">el capitán gobernó la nave durante la tormenta.</span> También prnl. </li><li> Manejar o dominar a alguien:<br><span class=""i""> gobierna a toda su familia con mano férrea.</span> </li><li> intr. Obedecer el buque al timón:<br><span class=""i"">el yate es muy ligero y fácil de gobernar.</span> </li><li> prnl. Guiarse según una norma,  regla o idea:<br><span class=""i"">gobernarse con sensatez.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">acertar</span>.<br></li>"
"golear";"<li>tr. En el fútbol y en otros deportes,  meter muchos goles en la portería contraria.<br></li>"
"golfear";"<li>intr. Vivir como un golfo:<br><span class=""i"">ha estado golfeando durante años,  pero parece que ahora ha sentado la cabeza.</span><br></li>"
"golpear";"<li>tr.,  intr. y prnl. Dar uno o varios golpes a algo o alguien:<br><span class=""i"">golpeó la puerta con insistencia.</span><br></li>"
"golpetear";""
"gorgoritear";""
"gorgorizar";""
"gorgotear";"<li>intr. Producir ruido un líquido o un gas al moverse en el interior de una cavidad:<br><span class=""i"">el agua gorgoteaba en la cañería atascada.</span><br></li>"
"gorjear";"<li>intr. Hacer quiebros con la voz en la garganta. Se usa hablando de la voz humana y de los pájaros:<br><span class=""i"">me encanta oír gorjear a los ruiseñores.</span><br></li>"
"gorrear";"<li>intr. <span class=""i"">col.</span> Comer,  vivir o hacer cualquier cosa a costa ajena:<br><span class=""i"">va a gorrear a casa de sus parientes.</span><br></li>"
"gorronear";"<li>intr. Comer,  vivir o hacer cualquier cosa a costa ajena:<br><span class=""i"">deja de gorronear y compra tabaco.</span><br></li>"
"gotear";"<li>intr. Caer un líquido gota a gota:<br><span class=""i""> la barrica gotea.</span> </li><li> Dar o recibir poco a poco:<br><span class=""i"">goteaba sus visitas.</span> </li><li> intr. impers. Comenzar a llover con gotas espaciadas:<br><span class=""i"">coge el paraguas,  que está goteando.</span><br></li>"
"gozar";"<li>tr. Poseer algo material o inmaterial. También como intr. con la prep. <span class=""i"">de:</span> <span class=""i"">goza de gran fortuna.</span> </li><li> intr. Sentir placer,  disfrutar con algo:<br><span class=""i""> goza con los niños.</span> También prnl. </li><li> <span class=""b"">gozarla</span> loc. <span class=""i"">col.</span> Pasarlo bien,  disfrutar con una persona o cosa:<br><span class=""i""> la gozamos en el parque de atracciones.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"grabar";"<li>tr. Hacer una incisión para labrar una figura,  dibujo o inscripción sobre una superficie dura:<br><span class=""i"">grabó su nombre en el tronco de un árbol.</span> </li><li> Registrar imágenes,  sonidos o datos en el soporte adecuado para su almacenamiento y reproducción:<br><span class=""i"">grabar en vídeo.</span> </li><li> Fijar profundamente en el ánimo un concepto,  un sentimiento o un recuerdo. También prnl.:<br><span class=""i"">sus palabras se grabaron a fuego en mi mente.</span><br> ♦ No confundir con <span class=""i"">gravar.</span><br></li>"
"gradar";""
"graduar";"<li>tr. Dar el grado o calidad que corresponde a la intensidad o cantidad de algo:<br><span class=""i"">graduar la luz.</span> </li><li> Dividir,  ordenar y medir en grados:<br><span class=""i""> graduar la vista,  una escala.</span> </li><li> Aumentar o disminuir gradualmente algo:<br><span class=""i""> graduar el esfuerzo.</span> </li><li> tr. y prnl. Conceder u obtener un grado académico:<br><span class=""i""> se ha graduado en ciencias.</span> </li><li> <span class=""ac"">mil.</span> Conceder o recibir un grado militar:<br><span class=""i"">se graduó en la escuela de Zaragoza.</span><br> ♦ Se conj. como <span class=""b"">actuar</span>.<br></li>"
"grajear";""
"granar";"<li>intr. Formarse y crecer el grano de los frutos en algunas plantas:<br><span class=""i"">las vides granaron con el sol.</span><br></li>"
"granear";""
"granizar";"<li>intr. impers. Caer granizo:<br><span class=""i"">ha granizado en el peor momento para los frutales.</span> </li><li> tr. Preparar una bebida granizada:<br><span class=""i"">puedes granizar una naranjada para la cena.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"granjear";"<li>tr. Enriquecerse traficando con ganado u otros productos. </li><li> Conseguir,  captar el favor,  la voluntad de alguien. Más c. prnl.:<br><span class=""i"">se granjeó el respeto de sus colaboradores.</span> </li><li> intr. <span class=""ac"">mar.</span> Avanzar en relación al barlovento:<br><span class=""i"">a pesar del viento lograron granjear.</span><br></li>"
"granular";"<li>adj. [Sustancia] cuya masa forma granos o porciones menudas:<br><span class=""i"">cristalización granular.</span><br></li>"
"grapar";"<li>tr. Sujetar con una o varias grapas:<br><span class=""i"">grapar unos folios.</span><br></li>"
"gratificar";"<li>tr. Pagar,  remunerar a alguien por un servicio:<br><span class=""i"">gratificaron su dedicación con un cheque.</span> </li><li> Complacer,  gustar:<br><span class=""i""> los halagos de sus invitados le gratificaron mucho.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"gratinar";"<li>tr. Tostar por encima en el horno un alimento,  en especial el cubierto con gratén:<br><span class=""i"">tienes que gratinar el pollo para que la piel quede crujiente.</span><br></li>"
"gravar";"<li>tr. Imponer un gravamen o establecer un tributo:<br><span class=""i"">se va a gravar de nuevo la posesión de un segundo piso.</span><br> ♦ No confundir con<span class=""i""> grabar.</span><br></li>"
"gravitar";"<li>intr. Moverse un cuerpo por la atracción de otro:<br><span class=""i"">la Tierra gravita alrededor del Sol.</span> </li><li> Descansar un cuerpo sobre otro,  por efecto de la gravedad:<br><span class=""i""> el techo gravita sobre recios pilares.</span> </li><li> Pesar sobre alguien una obligación:<br><span class=""i"">sobre ella gravita la culpa.</span><br></li>"
"graznar";"<li>intr. Dar graznidos:<br><span class=""i"">los cuervos graznaban en torno a la torre.</span><br></li>"
"gripar";"<li>tr. y prnl. Bloquearse las piezas de un motor o un mecanismo:<br><span class=""i"">el coche perdió aceite y se gripó.</span><br></li>"
"gritar";"<li>intr. Levantar la voz más de lo normal para expresar enfado o desaprobación:<br><span class=""i"">no grites,  que ya te he oído.</span> </li><li> Dar gritos,  chillar:<br><span class=""i""> la película provocó gritos de terror en el público.</span><br></li>"
"gruñir";"<li>intr. Emitir su voz el cerdo:<br><span class=""i"">el cerdo gruñía cuando era conducido al matadero.</span> </li><li> Emitir su voz algunos animales en señal de amenaza:<br><span class=""i""> el perro gruñe cada vez que ve al cartero.</span> </li><li> Murmurar entre dientes o quejarse para mostrar disgusto:<br><span class=""i"">no gruñas más y cede por una vez.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">mullir</span>.<br></li>"
"guachapear";""
"guachar";""
"guaguatear";""
"gualdrapear";""
"guanear";""
"guantear";""
"guapear";"<li>intr. <span class=""i"">amer.</span> <span class=""b"">fanfarronear.</span><br></li>"
"guaquear";"<li>tr. <span class=""i"">amer.</span> Hacer excavaciones en busca de objetos arqueológicos precolombinos.<br></li>"
"guarapear";""
"guardar";"<li>tr. Cuidar,  vigilar,  custodiar:<br><span class=""i""> guardar el ganado,  una caja fuerte.</span> </li><li> Colocar algo en el lugar apropiado:<br><span class=""i""> guarda el dinero en el monedero.</span> </li><li> Conservar,  no gastar:<br><span class=""i""> te estoy guardando un trozo de tarta.</span> </li><li> Cumplir,  observar una regla:<br><span class=""i""> nunca guarda los descansos preceptivos.</span> </li><li> Mantener,  observar:<br><span class=""i"">guárdame el respeto debido.</span> </li><li> prnl. Seguido de la prep. <span class=""i"">de, </span> precaverse,  recelar de un riesgo:<br><span class=""i"">guárdate de las alabanzas.</span> </li><li> Con la misma preposición,  evitar:<br><span class=""i""> se guardó de manifestar su opinión.</span> </li><li> <span class=""b"">guardársela</span> a alguien loc. <span class=""i"">col. </span>Esperar al momento adecuado para la venganza o castigo:<br><span class=""i"">esta te la guardo,  así que no lo olvides.</span><br></li>"
"guarecer";"<li>tr. Acoger,  proteger,  guardar:<br><span class=""i"">el refugio les guareció de la nieve.</span> </li><li> prnl. Refugiarse,  resguardarse:<br><span class=""i""> nos guarecimos de la lluvia en un portal.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">agradecer</span>. No confundir con <span class=""i"">guarnecer.</span><br></li>"
"guarnecer";"<li>tr. Poner guarnición:<br><span class=""i""> guarneció el puño de la espada.</span> </li><li> Adornar,  vestir:<br><span class=""i""> han guarnecido el bolso con repujados.</span> </li><li> Equipar,  dotar:<br><span class=""i""> se guarnecieron para el temporal.</span> </li><li> <span class=""ac"">albañ.</span> Revestir las paredes de un edificio.<br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">agradecer</span>. No confundir con <span class=""i"">guarecer.</span><br></li>"
"guarnicionar";""
"guarrear";"<li>tr. Ensuciar,  manchar. También prnl.:<br><span class=""i"">ya te has guarreado de barro los pantalones.</span><br></li>"
"guayabear";""
"guayar";""
"guerrear";"<li>intr. Hacer la guerra. También tr.:<br><span class=""i"">guerrear a los invasores.</span> </li><li> Resistir,  rebatir:<br><span class=""i"">guerreó hasta el final por su pensión.</span><br></li>"
"guerrillear";""
"guiar";"<li>tr. Ir mostrando el camino:<br><span class=""i""> una policía nos guió hasta el museo.</span> </li><li> Aconsejar,  orientar:<br><span class=""i""> su padre le guió en la elección de la carrera.</span> </li><li> Conducir o manejar una máquina,  en especial un automóvil:<br><span class=""i""> guiar despacio o rápido.</span> </li><li> Colocar guías en las plantas para dirigir su crecimiento:<br><span class=""i"">hay que guiar los árboles desde retoños.</span> </li><li> prnl. Dejarse llevar o dirigir:<br><span class=""i""> se guía por sus instintos.</span><br> ♦ Se conj. como <span class=""b"">vaciar</span>.<br></li>"
"guillotinar";"<li>tr. Decapitar con la guillotina. </li><li> Cortar con una guillotina:<br><span class=""i"">han guillotinado mal este libro.</span><br></li>"
"guindar";"<li>tr. <span class=""i"">col.</span> Robar,  quitar:<br><span class=""i"">le ha guindado el novio a su amiga.</span><br></li>"
"guipar";"<li>tr. <span class=""i"">vulg.</span> Ver,  descubrir:<br><span class=""i"">no guipa nada,  es bastante cegato.</span><br></li>"
"guisar";"<li>tr. Preparar los alimentos al fuego,  en especial haciéndolos cocer en salsa después de rehogados.<br></li>"
"gulusmear";""
"gustar";"<li>intr. Agradar,  parecer bien algo a alguien:<br><span class=""i"">me gusta cómo me miras.</span> </li><li> Desear,  sentir afición:<br><span class=""i"">le gusta ir al cine.</span> </li><li> tr. Degustar,  sentir el sabor en el paladar:<br><span class=""i"">gustar el vino;<br> ¿gusta usted?</span> </li><li> Probar,  experimentar:<br><span class=""i""> en su vida ha gustado todo tipo de emociones.</span><br></li>"
"habilitar";"<li>tr. Hacer a una persona o cosa hábil o apta para algo:<br><span class=""i""> habilitaremos esta habitación como despacho.</span> </li><li> Dar a alguien el capital necesario para que pueda negociar por sí:<br><span class=""i"">ya han habilitado los fondos para el proyecto.</span> </li><li> <span class=""ac"">der.</span> Dar capacidad civil o de representación legal a las personas:<br><span class=""i"">le han habilitado como representante de la comunidad.</span> </li><li> <span class=""ac"">der.</span> Dar a las cosas aptitud o posibilidad legal:<br><span class=""i"">habilitar una apelación.</span> </li><li> <span class=""i"">amer.</span> Dar categoría de socio al empleado de una empresa:<br><span class=""i"">le han habilitado por su entrega al trabajo.</span><br></li>"
"habitar";"<li>tr. e intr. Vivir,  ocupar habitualmente un lugar o casa:<br><span class=""i"">el hemión habita en el Tíbet.</span><br></li>"
"habituar";"<li>tr. y prnl. Acostumbrar a algo o hacer que alguien adquiera un hábito o costumbre:<br><span class=""i""> se ha habituado a cenar pronto.</span><br> ♦ Se conj. como <span class=""b"">actuar</span>.<br></li>"
"hablar";"<li>intr. Pronunciar palabras para darse a entender:<br><span class=""i""> empezó a hablar con nueve meses.</span> </li><li> Comunicarse,  conversar:<br><span class=""i""> hablaron largo y tendido.</span> </li><li> Pronunciar un discurso:<br><span class=""i"">hoy hablarán de los mamíferos.</span> </li><li> Dirigir la palabra a una persona:<br><span class=""i"">habló a los presentes.</span> </li><li> Con los advs. <span class=""i"">bien</span> o <span class=""i"">mal, </span> expresarse de uno u otro modo y manifestar opiniones favorables o adversas sobre alguien o algo:<br><span class=""i""> no han hablado mal de esa película.</span> </li><li> Murmurar o criticar:<br><span class=""i""> andan hablando de ti.</span> </li><li> Rogar,  interceder por uno:<br><span class=""i""> habla por mí a tu jefe.</span> </li><li> Explicarse o dar a entender algo por medios distintos a la palabra:<br><span class=""i"">hablar por gestos.</span> </li><li> tr. Emplear uno u otro idioma para expresarse:<br><span class=""i"">hablar francés,  alemán.</span> </li><li> Decir algunas cosas especialmente buenas o malas:<br><span class=""i"">habla maravillas de ti.</span> </li><li> prnl. Tener relaciones amorosas o de cualquier tipo una persona con otra:<br><span class=""i"">mi hermana se habla con tu primo.</span><br></li>"
"hacer";"<li>tr. Producir,  causar:<br><span class=""i"">hizo un ruido tremendo.</span> </li><li> Fabricar,  componer:<br><span class=""i""> hizo varias comedias.</span> </li><li> Ejecutar. También prnl.:<br><span class=""i""> se hacía la manicura.</span> </li><li> Con el pron. neutro <span class=""i"">lo, </span> realizar la acción de un verbo ya enunciado:<br><span class=""i""> -¿me traerás el libro esta noche? -lo haré sin falta.</span> </li><li> Disponer,  llevar a cabo:<br><span class=""i""> haremos un banquete para la boda.</span> </li><li> Transformar,  convertir:<br><span class=""i""> los desengaños le han hecho resentido.</span> </li><li> Caber,  contener o equivaler a una cantidad:<br><span class=""i"">cuatro vasos hacen un litro;<br> dos y dos hacen cuatro.</span> </li><li> Unido a ciertos nombres,  expresa la acción de su raíz:<br><span class=""i"">hacer bobadas es ""bobear"".</span> </li><li> Suponer,  creer:<br><span class=""i""> yo te hacía en Londres.</span> </li><li> Representar una obra teatral,  cinematográfica,  etc.:<br><span class=""i""> hacen ""La Celestina"".</span> </li><li> Ejercitar los miembros,  músculos,  etc.,  para fomentar su desarrollo:<br><span class=""i"">hacer piernas,  bíceps.</span> </li><li> Reducir una cosa a lo que significan los nombres a que va unido:<br><span class=""i"">hacer pedazos.</span> </li><li> Proveer,  suministrar,  facilitar. Más c. prnl.<br> ♦ Se construye con las preps. <span class=""i"">con</span> o <span class=""i"">de:</span><span class=""i""> se hizo con la mayoría de los votos.</span> </li><li> Obligar a que se ejecute la acción que significa el infinitivo o la oración subordinada que le siguen:<br><span class=""i"">le hizo venir;<br> nos hizo que fuésemos.</span> </li><li> Habituar,  acostumbrar. También prnl.:<br><span class=""i""> se hizo pronto al nuevo trabajo.</span> </li><li> Interpretar un papel:<br><span class=""i""> hará de don Juan en la obra.</span> </li><li> intr. Obrar,  actuar,  proceder:<br><span class=""i""> hace bien en no venir.</span> </li><li> Importar,  convenir:<br><span class=""i"">esa cita no me hace.</span> </li><li> Con algunos nombres de oficios,  profesiones,  etc.,  ejercerlos.<br> ♦ Se construye con la prep. <span class=""i"">de:</span> <span class=""i"">hace de fiscal.</span> </li><li> Procurar que sucedan las acciones que significan los infinitivos que le siguen.<br> ♦ Se construye con la prep. <span class=""i"">por:</span> <span class=""i"">hacer por venir.</span> </li><li> Aparentar.<br> ♦ Se usa generalmente seguido del adv. <span class=""i"">como:</span> <span class=""i"">hace como que no le importa.</span> </li><li> prnl. Crecer,  aumentarse,  desarrollarse para llegar al estado de perfección que cada cosa ha de tener:<br><span class=""i""> se hizo mayor.</span> </li><li> Volverse,  transformarse:<br><span class=""i""> se hizo millonario.</span> </li><li> intr. impers. Fingir,  aparentar:<br><span class=""i"">hacerse el tonto.</span> </li><li> Experimentarse el buen o mal tiempo:<br><span class=""i"">hace calor,  frío,  buen día.</span> </li><li> Haber transcurrido cierto tiempo:<br><span class=""i"">mañana hará ocho años de aquello.</span> </li><li> <span class=""b"">hacer</span> uno <span class=""b"">de las suyas</span> loc. Proceder uno según su carácter y costumbres:<br><span class=""i"">cuando menos te lo esperes,  hará una de las suyas para descalificarte.</span> </li><li> <span class=""b"">hacerse con</span> una persona o cosa loc. <span class=""i"">col.</span> Dominarla:<br><span class=""i"">tiene un carácter tan fuerte que enseguida se hizo con la pandilla.</span> </li><li> <span class=""b"">hacerse</span> uno <span class=""b"">de rogar</span> loc. No acceder a lo que otro pide hasta que se lo ha rogado con insistencia:<br><span class=""i"">después de mucho hacerse de rogar,  consintió en acompañarnos.</span><br> ♦ <span class=""b"">Irreg.</span> Véase conj. modelo.<br></li>"
"hachar";""
"hachear";""
"hacinar";"<li>tr. Amontonar,  acumular,  juntar sin orden personas o cosas. También prnl.:<br><span class=""i"">en aquel vagón se hacinaban pasajeros y equipajes.</span><br></li>"
"halagar";"<li>tr. Dar muestras de admiración y afecto que sean gratas a alguien:<br><span class=""i"">me siento muy halagado por su visita.</span> </li><li> Dar motivo de satisfacción al orgullo de alguien:<br><span class=""i"">no me halagues los oídos.</span> </li><li> Adular a alguien:<br><span class=""i"">no para de halagar al jefe para que le ascienda.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"halar";"<li>tr. <span class=""ac"">mar.</span> Tirar de un cabo,  de una lona o de un remo al bogar:<br><span class=""i"">las manos se de desollaron de tanto halar.</span> </li><li> <span class=""i"">amer. </span>Tirar hacia sí de una cosa:<br><span class=""i"">haló de las crines al caballo hasta domarlo.</span> </li><li> <span class=""i"">amer.</span> Emborracharse:<br><span class=""i"">está halando más de la cuenta.</span><br> ♦ La<span class=""i""> h</span> se pronuncia aspirada.<br></li>"
"hallar";"<li>tr. Encontrar a una persona o cosa:<br><span class=""i"">no hallé a nadie en casa.</span> </li><li> Descubrir o inventar lo que hasta entonces es desconocido:<br><span class=""i"">halló una solución para el problema.</span> </li><li> Descubrir la verdad o el resultado de algo:<br><span class=""i"">hallar la raíz cuadrada de este número.</span> </li><li> Ver,  observar,  notar:<br><span class=""i"">halló varias erratas en la edición.</span> </li><li> prnl. Estar presente,  encontrarse:<br><span class=""i"">hallarse enferma,  en Madrid.</span><br></li>"
"hamacar";"<li>tr. y prnl. <span class=""i"">amer.</span> Mecer la hamaca:<br><span class=""i"">se hamacaba mientras leía una novela.</span> </li><li> prnl. <span class=""i"">amer.</span> Entretener un asunto,  marear a alguien:<br><span class=""i"">no me hamaquees más y responde.</span> </li><li> <span class=""i"">amer.</span> Poner empeño en salir de una situación comprometida o difícil:<br><span class=""i"">verás cómo se hamaqueará y saldrá a flote.</span><br> ♦ La primera forma se conj. como <span class=""b"">sacar</span>.<br></li>"
"hambrear";""
"haraganear";"<li>intr. Rehuir el trabajo,  vaguear:<br><span class=""i"">haraganeando no vas a conseguir nada en la vida.</span><br></li>"
"harinear";"<li>intr. impers. <span class=""i"">amer.</span> <span class=""b"">lloviznar.</span><br> ♦ También se usa en Andalucía.<br></li>"
"harnear";""
"hartar";"<li>tr. y prnl. Saciar el apetito de comer y beber:<br><span class=""i""> se ha hartado de asado.</span> </li><li> Satisfacer el deseo de algo:<br><span class=""i""> me harté de dormir.</span> </li><li> Cansar,  fastidiar:<br><span class=""i""> se ha hartado de soportar sus tonterías.</span> </li><li> Dar o recibir o en abundancia:<br><span class=""i"">te voy a hartar de tortas.</span> </li><li> <span class=""i"">amer.</span> <span class=""b"">calumniar.</span> </li><li> <span class=""i"">amer.</span> Insultar:<br><span class=""i"">le estás empezando a hartar con tus desprecios.</span><br> ♦ Tiene doble p. p.: uno reg.,  <span class=""i"">hartado,  </span>y otro irreg.,  <span class=""i"">harto.</span><br></li>"
"hastiar";"<li>tr. y prnl. Causar hastío o disgusto:<br><span class=""i"">sus estupideces le habían hastiado.</span><br> ♦ Se conj. como <span class=""b"">vaciar</span>.<br></li>"
"hechizar";"<li>tr. Ejercer una influencia maléfica con poderes y prácticas mágicas:<br><span class=""i"">una bruja hechizó al príncipe.</span> </li><li> Embelesar,  cautivar,  despertar admiración:<br><span class=""i"">ese cuadro le ha hechizado.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"heder";"<li>intr. Despedir un olor malo y penetrante:<br><span class=""i""> la alcantarilla hiede.</span> </li><li> Enfadar,  cansar,  ser insoportable:<br><span class=""i"">este asunto ya hiede.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">entender</span>.<br></li>"
"helar";"<li>tr. Congelar,  solidificar un líquido por la acción del frío. También prnl.:<br><span class=""i"">el agua se heló en el pozo.</span> </li><li> Dejar a alguien suspenso y pasmado:<br><span class=""i""> aquel grito helaba la sangre.</span> </li><li> Desalentar,  acobardar:<br><span class=""i"">tu indiferencia le ha helado el ánimo.</span> </li><li> intr. impers. Caer heladas por darse una temperatura inferior a 0 °C:<br><span class=""i""> mañana helará.</span> </li><li> prnl. Ponerse una persona o cosa muy fría:<br><span class=""i""> se me están helando las manos.</span> </li><li> Coagularse algo que se había licuado,  por falta del calor necesario:<br><span class=""i"">la grasa se ha helado.</span> </li><li> Secarse los árboles,  plantas o frutas,  por la congelación de su savia y jugos,  producida por el frío:<br><span class=""i"">se han helado todos los frutales.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">acertar</span>.<br></li>"
"henchir";"<li>tr. Llenar,  ocupar con algo un espacio vacío:<br><span class=""i"">henchir de aire los pulmones.</span> </li><li> prnl. Hartarse de comida:<br><span class=""i"">le gusta ir a los banquetes para henchirse.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">pedir</span>.<br></li>"
"hender";"<li>tr. y prnl. Hacer una hendidura en un cuerpo:<br><span class=""i"">el parachoques ha hendido su casco.</span> </li><li> Atravesar un fluido,  cortar su superficie:<br><span class=""i""> los cazas hendían el aire.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">entender</span>.<br></li>"
"hendir";"<li>tr. <span class=""b"">hender.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">discernir</span>.<br></li>"
"henificar";""
"herbajar";""
"herborizar";""
